a=00011110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011110, sa=0, s=0, e=1, bus wire=00011111
a=00011111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011111, sa=0, s=0, e=1, bus wire=00100000
a=00100000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100000, sa=0, s=0, e=1, bus wire=00100001
a=00100001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100001, sa=0, s=0, e=1, bus wire=00100010
a=00100010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100010, sa=0, s=0, e=1, bus wire=00100011
a=00100011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100011, sa=0, s=0, e=1, bus wire=00100100
a=00100100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100100, sa=0, s=0, e=1, bus wire=00100101
a=00100101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100101, sa=0, s=0, e=1, bus wire=00100110
a=00100110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100110, sa=0, s=0, e=1, bus wire=00100111
a=00100111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100111, sa=0, s=0, e=1, bus wire=00101000
a=00101000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00101000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101000, sa=0, s=0, e=1, bus wire=00101001
a=00101001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00101001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101001, sa=0, s=0, e=1, bus wire=00101010
a=00101010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00101010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101010, sa=0, s=0, e=1, bus wire=00101011
a=00101011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00101011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101011, sa=0, s=0, e=1, bus wire=00101100
a=00101100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00101100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101100, sa=0, s=0, e=1, bus wire=00101101
a=00101101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00101101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101101, sa=0, s=0, e=1, bus wire=00101110
a=00101110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00101110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101110, sa=0, s=0, e=1, bus wire=00101111
a=00101111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00101111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00101111, sa=0, s=0, e=1, bus wire=00110000
a=00110000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00110000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110000, sa=0, s=0, e=1, bus wire=00110001
a=00110001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00110001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110001, sa=0, s=0, e=1, bus wire=00110010
a=00110010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00110010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110010, sa=0, s=0, e=1, bus wire=00110011
a=00110011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00110011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110011, sa=0, s=0, e=1, bus wire=00110100
a=00110100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00110100, sa=1, s=0, e=0, bus wire=zzzzzzzz
